[29/Jan/2024:04:38:56 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.30.182] [Length 36057] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[29/Jan/2024:04:38:57 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706503137134" [Client 152.58.30.182] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:01 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.30.182] [Length 36055] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/job/gg_webapp/"
[29/Jan/2024:04:39:01 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706503141247" [Client 152.58.30.182] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:11 +0000] - 302 302 - GET https jenkins.hanisntsolo.com "/toggleCollapse?paneId=executors" [Client 152.58.16.153] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:12 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.16.153] [Length 35665] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:14 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/" [Client 152.58.30.182] [Length 35667] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:14 +0000] - 200 200 - GET https jenkins.hanisntsolo.com "/i18n/resourceBundle?baseName=jenkins.dialogs&_=1706503154398" [Client 152.58.30.182] [Length 134] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:18 +0000] - 201 201 - POST https jenkins.hanisntsolo.com "/job/gg_authorization_server/build?delay=0sec" [Client 152.58.30.182] [Length 0] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:19 +0000] - 200 200 - POST https jenkins.hanisntsolo.com "/widget/BuildQueueWidget/ajax" [Client 152.58.30.182] [Length 394] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
[29/Jan/2024:04:39:19 +0000] - 200 200 - POST https jenkins.hanisntsolo.com "/widget/ExecutorsWidget/ajax" [Client 152.58.30.182] [Length 360] [Gzip -] [Sent-to 180.233.121.154] "Mozilla/5.0 (iPhone; CPU iPhone OS 17_3 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/120.0.6099.119 Mobile/15E148 Safari/604.1" "https://jenkins.hanisntsolo.com/"
